Country, Both sexes, Male, Female,Population,Deaths / 100k
Ecuador,6181,2785,3396,16212020,38.12603241
Egypt,17533,8624,8908,92442547,18.96637487
El Salvador,2215,862,1354,6325124,35.01907631
Equatorial Guinea,282,180,101,1168568,24.13210014
Eritrea,848,496,352,,#DIV/0!
Estonia,141,55,86,1315407,10.71911583
Eswatini,709,271,438,1104044,64.21845506
Ethiopia,12484,7311,5173,100835458,12.38056557
Fiji,1400,736,664,868627,161.1738986
Finland,486,252,234,5479531,8.869372215
France,12273,6071,6202,66593366,18.42976371
Gabon,390,215,175,1947686,20.02376153
Gambia,195,87,108,2085860,9.348661943
Georgia,1271,618,654,3725276,34.11827741
Germany,25139,11297,13841,81686611,30.77493324
Ghana,5519,2874,2645,27849205,19.81744183
Greece,1871,950,921,10820883,17.2906407
Grenada,83,33,49,109599,75.73061798
Guatemala,6306,2535,3771,16252429,38.80035409
Guinea,2053,760,1293,11432088,17.95822425
Guinea-Bissau,244,88,156,1737202,14.04557444
Guyana,530,226,304,767432,69.0614934
Haiti,3887,1355,2532,10695542,36.34224427
Honduras,797,256,541,9112916,8.745828448
Hungary,2772,1224,1548,9843028,28.16206558
Iceland,28,19,9,330815,8.463945105
India,296010,145408,150602,1310152403,22.59355471
Indonesia,97996,43377,54620,258383256,37.9266062
Iran (Islamic Republic of),14599,6569,8030,78492215,18.59929676
Iraq,6957,2894,4064,35572261,19.55737365
Ireland,556,312,243,4701957,11.82486356
Israel,2673,1308,1365,8380100,31.89699407
Italy,22706,10033,12672,60730582,37.38808233
Jamaica,2279,860,1419,2891021,78.83028176
Japan,14475,7462,7013,127141000,11.38499776
Jordan,2266,1181,1086,9266575,24.45347931
Kazakhstan,1352,511,841,17542806,7.706862859
Kenya,2123,1332,791,47878336,4.434155774
Kiribati,79,35,45,110930,71.21608221
Kuwait,303,163,140,3835591,7.899695249
Kyrgyzstan,377,161,216,5956900,6.328795179
Lao People's Democratic Republic,1623,506,1116,6741164,24.07596077
Latvia,478,185,293,1977527,24.17160423
Lebanon,1752,1244,508,6532678,26.81901664
Lesotho,1174,428,746,2059021,57.01738836
Liberia,560,220,340,4472230,12.52171735
Libya,1243,579,664,6418315,19.36645366
Lithuania,326,145,181,2904910,11.22237866
Luxembourg,91,47,44,569604,15.9760114
Madagascar,2096,1149,947,24234088,8.648974123
Malawi,1364,772,592,16745303,8.145567745
Malaysia,4380,1997,2382,30270962,14.46931221
Maldives,42,21,21,454915,9.232493982
Mali,2356,866,1490,17438778,13.51012095
Malta,167,88,79,445053,37.52362078
Mauritania,538,195,343,4046301,13.29609438
Mauritius,2391,1247,1144,1262605,189.370389
Mexico,97845,47540,50305,121858258,80.29410695
Micronesia (Federated States of),59,28,30,108895,54.18063272
Mongolia,92,57,35,2998439,3.068263186
Montenegro,159,67,91,622159,25.55616812
Morocco,10294,3623,6672,34663603,29.69685523
Mozambique,2586,1352,1234,27042002,9.562901445
Myanmar,15964,7083,8882,52680726,30.30330296
Namibia,809,339,469,2314904,34.94745354
Nepal,6285,2495,3790,27015031,23.26482616
Netherlands,2953,1361,1593,16939923,17.43219258
New Zealand,861,467,394,4595700,18.73490437
Nicaragua,1582,624,958,6223240,25.42084188
Niger,2453,1075,1378,20001663,12.26398025
Nigeria,24754,9558,15196,181137448,13.66586549
Norway,638,336,302,5188607,12.29617121
Oman,871,518,354,4267348,20.41080315
Pakistan,42158,14330,27828,199426964,21.13956867
Panama,1467,695,771,3968487,36.9662292
Papua New Guinea,2238,898,1340,8107775,27.60313403
Paraguay,2321,915,1406,6688746,34.70007682
Peru,5888,2924,2963,30470734,19.32345968
Philippines,25537,12461,13077,102113212,25.00851702
Poland,8822,3786,5035,37986412,23.22409392
Portugal,4765,2020,2744,10358076,46.00275186
Qatar,329,238,91,2565710,12.82296129
Republic of Korea,11642,5670,5973,51014947,22.82076271
Republic of Moldova,481,211,270,3554108,13.53363488
Romania,2530,1193,1337,2079328,121.6739254
Russian Federation,10134,3195,6939,19815481,51.14183198
Rwanda,1375,770,604,144096870,0.9542192
Saint Lucia,115,48,67,11369071,1.011516244
Saint Vincent and the Grenadines,82,38,44,179126,45.77783236
Samoa,80,44,37,109148,73.29497563
Sao Tome and Principe,13,7,6,193513,6.717894922
Saudi Arabia,3594,2051,1543,199432,1802.118015
Senegal,2116,868,1248,31717667,6.671360791
Serbia,3318,1475,1843,14578459,22.75960717
Seychelles,20,9,11,7095383,0.281873438
Sierra Leone,1339,461,878,93419,1433.327267
Singapore,358,163,195,7171914,4.991693989
Slovakia,931,419,511,5535002,16.82022879
Slovenia,337,166,171,5423801,6.213354804
Solomon Islands,199,93,106,2063531,9.643664185
Somalia,1814,1014,800,603118,300.7703302
South Africa,36160,16397,19763,13797201,262.0821426
South Sudan,1546,839,707,55386367,2.79130061
Spain,10411,4510,5900,10715658,97.15688948
Sri Lanka,12153,5362,6791,46444832,26.16652806
Sudan,5511,2382,3129,20970000,26.28040057
Suriname,246,120,127,38902950,0.632342791
Sweden,2105,1099,1006,559143,376.4689891
Switzerland,1376,660,717,9799186,14.04198267
Syrian Arab Republic,1286,537,749,8282396,15.52690791
Tajikistan,775,404,370,17997408,4.306175645
Thailand,23035,9264,13771,8454028,272.4736658
Republic of North Macedonia,906,373,533,68714511,1.318498796
Timor-Leste,99,38,61,1196302,8.27550234
Togo,936,409,527,7323158,12.7813711
Tonga,81,35,46,100781,80.3722924
Trinidad and Tobago,1818,873,945,1370328,132.6689668
Tunisia,3433,1623,1810,11179949,30.70675904
Turkey,20848,9108,11740,78529409,26.54801592
Turkmenistan,685,304,381,5565287,12.3084398
Uganda,4365,2462,1904,38225453,11.41909293
Ukraine,2612,1040,1572,45154029,5.784644378
United Arab Emirates,662,489,173,9262900,7.146789882
United Kingdom of Great Britain and Northern Ireland,6720,3292,3428,65128861,10.31800633
United Republic of Tanzania,6166,3342,2823,51482633,11.97685441
United States of America,81998,44597,37400,320742673,25.56504229
Uruguay,947,463,485,3412009,27.7549092
Uzbekistan,5439,2652,2787,31298900,17.37760752
Vanuatu,76,37,39,271130,28.03083392
Venezuela (Bolivarian Republic of),14102,7215,6887,30081829,46.87879849
Viet Nam,19960,7026,12934,92677076,21.53714906
Yemen,3664,1512,2151,26497889,13.8275166
Zambia,1411,789,622,15879361,8.885747984
Zimbabwe,3431,1412,2018,13814629,24.83599089
