Country, Both sexes, Male, Female,Population,Deathsper100k
Ethiopia,10502,6245,4257,87639964,11.98311766
Fiji,1170,624,547,859818,136.075309
Finland,459,244,215,5363352,8.558080842
France,11730,5538,6191,65027507,18.03852022
Gabon,336,174,162,1624140,20.68787174
Gambia,162,74,88,1793196,9.034149084
Georgia,972,468,504,3786695,25.66882202
Germany,23740,9869,13870,81776930,29.03019226
Ghana,4898,2424,2474,24779619,19.76624419
Greece,1186,574,612,11121341,10.66418159
Grenada,95,30,65,106233,89.42607288
Guatemala,5035,2113,2922,14630417,34.41460349
Guinea,1834,701,1133,10192176,17.99419476
Guinea-Bissau,224,83,140,1522599,14.71168706
Guyana,460,184,275,749436,61.37949071
Haiti,2914,929,1985,9949322,29.28842789
Honduras,621,204,417,8317470,7.466212682
Hungary,2560,1114,1446,10000023,25.59994112
Iceland,23,13,10,318041,7.231772004
India,229362,113130,116232,1234281170,18.58263786
Indonesia,76125,33480,42645,241834215,31.47817607
Iran (Islamic Republic of),12041,5535,6507,73762519,16.32400867
Iraq,5275,2243,3032,29741976,17.73587606
Ireland,488,269,219,4560155,10.70139063
Israel,2390,1128,1263,7623600,31.35001836
Italy,20919,8926,11992,59277417,35.28999923
Jamaica,2061,753,1308,2810460,73.33319101
Japan,15164,7852,7312,128070000,11.84039978
Jordan,1791,889,902,7261539,24.66419309
Kazakhstan,1373,521,852,16321872,8.412025287
Kenya,1776,1116,661,42030676,4.225485215
Kiribati,66,29,38,102927,64.12311638
Kuwait,276,136,139,2991884,9.224956583
Kyrgyzstan,316,136,180,5447900,5.800400154
Lao People's Democratic Republic,1367,415,952,6249165,21.87492249
Latvia,579,187,392,2097555,27.60356701
Lebanon,1219,886,333,4953061,24.61104355
Lesotho,1046,382,664,1995581,52.41581274
Liberia,484,196,289,3891356,12.43782373
Libya,1257,608,649,6197663,20.28183849
Lithuania,282,120,162,3097282,9.10475701
Luxembourg,56,25,31,506953,11.04638892
Madagascar,1831,1007,824,21151640,8.656539162
Malawi,1231,716,515,14539612,8.466525792
Malaysia,3504,1575,1929,28208035,12.42199253
Maldives,41,20,21,365734,11.21033319
Mali,2040,759,1281,15049353,13.55540002
Malta,97,47,50,414508,23.40123713
Mauritania,434,154,280,3494195,12.42060045
Mauritius,2211,1083,1128,1250400,176.8234165
Mexico,82619,39480,43139,114092963,72.41375614
Micronesia (Federated States of),53,25,27,102911,51.50081138
Mongolia,84,53,31,2719896,3.088353378
Montenegro,153,64,89,619428,24.70020729
Morocco,9242,3376,5867,32343389,28.57461845
Mozambique,2352,1238,1114,23531574,9.995081502
Myanmar,12721,5700,7021,50600818,25.13990979
Namibia,722,298,424,2118874,34.07470194
Nepal,5020,2037,2984,27013212,18.58349907
Netherlands,3124,1434,1689,16615394,18.80184123
New Zealand,777,398,379,4350700,17.85919507
Nicaragua,1349,541,808,5824065,23.16251622
Niger,2008,862,1146,16464025,12.19628857
Nigeria,21288,8189,13099,158503197,13.43064393
Norway,745,372,373,4889252,15.23750463
Oman,731,441,290,3041434,24.0347152
Pakistan,34192,12027,22165,179424641,19.05646839
Panama,983,439,544,3642687,26.98557411
Papua New Guinea,1611,637,974,7310507,22.03677529
Paraguay,1995,771,1223,6248020,31.93011546
Peru,4636,2301,2335,29027674,15.97096619
Philippines,25394,12108,13286,93966780,27.02444417
Poland,6939,2937,4002,38042794,18.23998521
Portugal,5223,2210,3012,10573100,49.39894638
Qatar,224,152,72,1856327,12.06683952
Republic of Korea,11575,5731,5844,49554112,23.35830375
Republic of Moldova,417,207,210,3562045,11.70675834
Romania,2469,1105,1364,2070741,119.2326805
Russian Federation,9709,2984,6725,20246871,47.95308865
Rwanda,1180,657,523,142849449,0.826044488
Saint Lucia,149,68,81,10039338,1.484161605
Saint Vincent and the Grenadines,69,26,43,174085,39.63581009
Samoa,79,44,35,108255,72.97584407
Sao Tome and Principe,12,6,6,185949,6.453382379
Saudi Arabia,3215,1770,1445,180371,1782.43731
Senegal,1971,791,1180,27421461,7.187800825
Serbia,3504,1502,2001,12678148,27.63810613
Seychelles,17,7,10,7291436,0.233150233
Sierra Leone,1160,413,747,89770,1292.191155
Singapore,251,128,123,6415634,3.912317941
Slovakia,657,273,385,5076732,12.94139616
Slovenia,259,120,140,5391428,4.803922078
Solomon Islands,164,77,87,2048583,8.005533581
Somalia,1431,786,645,527861,271.0940948
South Africa,30793,13273,17519,12043883,255.6733572
South Sudan,1332,733,598,51216964,2.600700815
Spain,10063,4210,5852,9508364,105.8331381
Sri Lanka,11068,5304,5764,46576897,23.76285393
Sudan,4671,2038,2633,20261737,23.05330486
Suriname,219,106,113,34545013,0.633955471
Sweden,2034,1045,990,529131,384.4038622
Switzerland,1295,585,710,9378126,13.80872895
Syrian Arab Republic,1120,503,617,7824909,14.3132655
Tajikistan,622,326,296,21362529,2.911640284
Thailand,21208,8249,12959,7527394,281.7442531
Republic of North Macedonia,785,329,456,67195028,1.168241198
Timor-Leste,92,34,58,1093523,8.413174666
Togo,778,340,439,6421679,12.11521161
Tonga,79,34,45,103986,75.97176543
Trinidad and Tobago,1689,817,872,1328147,127.1696582
Tunisia,2935,1465,1470,10635244,27.59692208
Turkey,18651,8344,10307,72326988,25.78705476
Turkmenistan,512,227,285,5087213,10.06444983
Uganda,3722,2130,1593,32428167,11.47767618
Ukraine,3121,1193,1928,45870700,6.803907505
United Arab Emirates,499,367,132,8549988,5.836265501
United Kingdom of Great Britain and Northern Ireland,6310,2929,3381,62766365,10.05315506
United Republic of Tanzania,5175,2817,2358,44346525,11.66946001
United States of America,70113,35949,34163,309326085,22.66637164
Uruguay,798,385,412,3359275,23.75512573
Uzbekistan,4246,2031,2215,28562400,14.86569756
Vanuatu,63,30,33,236211,26.67106951
Venezuela (Bolivarian Republic of),10731,5346,5385,28439940,37.73214711
Viet Nam,16680,5976,10704,87967651,18.96151575
Yemen,3048,1289,1759,23154855,13.16354605
Zambia,1261,684,577,13605984,9.267980912
Zimbabwe,3071,1314,1757,12697723,24.1854386
