Country,Both, Male, Female
Poland,7.2,7.7,6.7
Portugal,6.5,7.9,5.2
Qatar,17.4,17.3,17.3
Republic of Korea,7.5,8.6,6.5
Republic of Moldova,7.5,6.9,8.1
Romania,6.4,6.6,6.1
Russian Federation,7.5,7,7.8
Rwanda,4,3.8,4.2
Saint Kitts and Nevis,13.1,11.4,14.7
Saint Lucia,12.2,11.3,13
Saint Vincent and the Grenadines,9.9,8.8,11.1
Samoa,22.4,20.6,24.3
San Marino,No data,No data,No data
Sao Tome and Principe,7.7,8,7.4
Saudi Arabia,16,16.1,15.7
Senegal,7,7.1,6.9
Serbia,6.6,6.9,6.2
Seychelles,9.8,9.6,10
Sierra Leone,6.3,6.5,6.1
Singapore,8,9.2,6.7
Slovakia,6.8,7.5,6.1
Slovenia,6.7,6.8,6.7
Solomon Islands,12.7,11.7,13.7
Somalia,6.4,6.9,5.8
South Africa,10.6,9,11.8
South Sudan,No data,No data,No data
Spain,7.1,8.5,5.8
Sri Lanka,6.7,6.3,7.1
Sudan,No data,No data,No data
Sudan (former),8.4,7.9,9
Suriname,11.4,10.2,12.6
Sweden,4.9,5.9,4
Switzerland,4,5.1,2.9
Syrian Arab Republic,13.3,12.7,13.9
Tajikistan,8.7,8.8,8.6
Thailand,8.1,7.7,8.4
Republic of North Macedonia,6.9,7.1,6.6
Timor-Leste,5.3,5.2,5.3
Togo,6.5,6.8,6.3
Tonga,22.3,20.3,24.2
Trinidad and Tobago,10.2,9,11.4
Tunisia,11.4,11,11.9
Turkey,12.4,11.8,13
Turkmenistan,10.4,10.6,10.2
Tuvalu,22.5,22,22.9
Uganda,4,3.7,4.2
Ukraine,7.1,7,7.1
United Arab Emirates,14.7,14.7,14.9
United Kingdom of Great Britain and Northern Ireland,5.7,6.5,4.9
United Republic of Tanzania,5.7,5.6,5.7
United States of America,7,7.9,6.2
Uruguay,9,8.8,9.1
Uzbekistan,9.2,9.1,9.2
Vanuatu,14.3,14.2,14.4
Venezuela (Bolivarian Republic of),9.3,9.7,8.8
Viet Nam,5.1,5.2,5.1
Yemen,9.9,11,8.9
Zambia,6.1,5.9,6.2
Zimbabwe,6.7,6.1,7.2
